					郑州商品交易所历史行情下载(2010)
交易日期	|品种月份	|昨结算	|今开盘	|最高价	|最低价	|今收盘	|今结算	|涨跌1	|涨跌2	|成交量(手)|空盘量	|增减量	|成交额(万元)	|交割结算价	|
2010-01-04|CF001	|16,090	|16,100	|16,370	|16,100	|16,250	|16,305	|160	|215	|1,244	|10,748	|-192	|10,127.65	|15,820	|
2010-01-04|CF003	|16,260	|16,305	|16,540	|16,295	|16,370	|16,455	|110	|195	|1,734	|9,614	|768	|14,264.61	|0	|
2010-01-04|CF005	|16,525	|16,600	|16,845	|16,530	|16,610	|16,715	|85	|190	|498,986	|265,668	|-2,040	|4,170,386.05	|0	|
2010-01-04|CF007	|16,685	|16,745	|17,040	|16,725	|16,880	|16,925	|195	|240	|2,534	|5,982	|990	|21,441.21	|0	|
2010-01-04|CF009	|17,135	|17,290	|17,635	|17,210	|17,465	|17,505	|330	|370	|148,778	|95,246	|32,222	|1,301,998.35	|0	|
2010-01-04|CF011	|16,335	|16,400	|16,630	|16,400	|16,470	|16,530	|135	|195	|3,074	|13,646	|546	|25,408.66	|0	|
2010-01-04|ER001	|2,042	|2,000	|2,060	|1,980	|2,060	|2,056	|18	|14	|106	|4,046	|0	|217.96	|2,015	|
2010-01-04|ER003	|2,065	|2,075	|2,075	|2,062	|2,069	|2,070	|4	|5	|42	|3,696	|-10	|86.94	|0	|
2010-01-04|ER005	|2,118	|2,131	|2,131	|2,120	|2,123	|2,124	|5	|6	|26,470	|85,910	|-1,670	|56,222.03	|0	|
2010-01-04|ER007	|2,135	|2,139	|2,144	|2,139	|2,144	|2,142	|9	|7	|22	|880	|0	|47.13	|0	|
2010-01-04|ER009	|2,191	|2,199	|2,210	|2,196	|2,202	|2,201	|11	|10	|10,706	|33,596	|1,126	|23,564.41	|0	|
2010-01-04|ER011	|2,198	|2,203	|2,208	|2,203	|2,207	|2,206	|9	|8	|12	|116	|4	|26.48	|0	|
2010-01-04|GN001	|3,000	|0	|0	|0	|0	|3,000	|-3000	|0	|0	|0	|0	|0.00	|3,000	|
2010-01-04|GN003	|3,000	|0	|0	|0	|0	|3,000	|-3000	|0	|0	|0	|0	|0.00	|0	|
2010-01-04|RO001	|8,034	|7,822	|8,318	|7,822	|8,298	|8,260	|264	|226	|44	|6,674	|-390	|181.71	|8,114	|
2010-01-04|RO003	|8,246	|8,280	|8,280	|8,280	|8,280	|8,280	|34	|34	|2	|44	|0	|8.28	|0	|
2010-01-04|RO005	|8,318	|8,458	|8,488	|8,388	|8,440	|8,432	|122	|114	|6,244	|22,964	|-464	|26,323.33	|0	|
2010-01-04|RO007	|8,432	|8,504	|8,638	|8,504	|8,626	|8,560	|194	|128	|12	|516	|-2	|51.36	|0	|
2010-01-04|RO009	|8,466	|8,586	|8,686	|8,552	|8,624	|8,622	|158	|156	|64,990	|44,288	|2,936	|280,161.09	|0	|
2010-01-04|RO011	|8,534	|8,658	|8,658	|8,658	|8,658	|8,658	|124	|124	|2	|8	|0	|8.66	|0	|
2010-01-04|SR001	|5,215	|5,350	|5,420	|5,350	|5,400	|5,379	|185	|164	|4,626	|16,626	|-3,214	|24,885.32	|5,155	|
2010-01-04|SR003	|5,303	|5,353	|5,516	|5,353	|5,516	|5,464	|213	|161	|504	|19,466	|30	|2,754.05	|0	|
2010-01-04|SR005	|5,411	|5,548	|5,628	|5,525	|5,628	|5,585	|217	|174	|53,366	|189,526	|-8,300	|298,036.57	|0	|
2010-01-04|SR007	|5,514	|5,665	|5,735	|5,662	|5,735	|5,691	|221	|177	|2,224	|22,706	|26	|12,656.43	|0	|
2010-01-04|SR009	|5,674	|5,803	|5,901	|5,800	|5,901	|5,854	|227	|180	|1,145,488	|883,190	|34,928	|6,705,158.92	|0	|
2010-01-04|SR011	|5,507	|5,598	|5,728	|5,580	|5,728	|5,696	|221	|189	|1,438	|7,244	|124	|8,190.44	|0	|
2010-01-04|SR101	|5,234	|5,295	|5,438	|5,278	|5,408	|5,379	|174	|145	|332,648	|184,826	|32,586	|1,789,161.45	|0	|
2010-01-04|SR103	|5,223	|5,278	|5,410	|5,262	|5,368	|5,341	|145	|118	|1,902	|4,810	|-16	|10,158.58	|0	|
2010-01-04|SR105	|5,270	|5,320	|5,454	|5,311	|5,409	|5,383	|139	|113	|22,238	|52,288	|5,160	|119,717.93	|0	|
2010-01-04|TA001	|7,872	|7,924	|8,188	|7,924	|8,064	|8,104	|192	|232	|1,174	|13,426	|-216	|4,757.32	|7,782	|
2010-01-04|TA002	|8,004	|8,080	|8,326	|8,080	|8,220	|8,220	|216	|216	|94,596	|48,376	|-14,354	|388,811.70	|0	|
2010-01-04|TA003	|8,130	|8,234	|8,452	|8,202	|8,344	|8,354	|214	|224	|721,522	|167,786	|22,298	|3,013,331.18	|0	|
2010-01-04|TA004	|8,220	|8,300	|8,532	|8,108	|8,446	|8,420	|226	|200	|732	|1,310	|516	|3,081.61	|0	|
2010-01-04|TA005	|8,316	|8,380	|8,580	|8,372	|8,480	|8,480	|164	|164	|10,980	|7,118	|2,228	|46,549.57	|0	|
2010-01-04|TA006	|8,348	|8,522	|8,550	|8,522	|8,546	|8,540	|198	|192	|6	|2,880	|-6	|25.62	|0	|
2010-01-04|TA007	|8,352	|8,570	|8,600	|8,570	|8,600	|8,582	|248	|230	|8	|1,066	|0	|34.33	|0	|
2010-01-04|TA008	|8,406	|8,508	|8,606	|8,508	|8,606	|8,592	|200	|186	|16	|144	|12	|68.73	|0	|
2010-01-04|TA009	|8,422	|8,440	|8,604	|8,440	|8,560	|8,554	|138	|132	|988	|1,098	|790	|4,225.22	|0	|
2010-01-04|TA010	|8,446	|8,588	|8,670	|8,588	|8,630	|8,618	|184	|172	|26	|66	|12	|112.02	|0	|
2010-01-04|TA011	|8,436	|8,548	|8,684	|8,548	|8,684	|8,598	|248	|162	|8	|696	|0	|34.39	|0	|
2010-01-04|TA012	|8,444	|8,580	|8,690	|8,576	|8,690	|8,598	|246	|154	|52	|136	|2	|223.52	|0	|
2010-01-04|WS001	|2,125	|0	|0	|0	|0	|2,125	|-2125	|0	|0	|3,596	|0	|0.00	|2,127	|
2010-01-04|WS003	|2,151	|2,164	|2,164	|2,163	|2,163	|2,164	|12	|13	|12	|192	|-12	|25.96	|0	|
2010-01-04|WS005	|2,188	|2,195	|2,195	|2,189	|2,191	|2,192	|3	|4	|3,400	|26,734	|-1,108	|7,451.10	|0	|
2010-01-04|WS007	|2,195	|2,200	|2,210	|2,194	|2,205	|2,205	|10	|10	|422	|2,304	|374	|930.67	|0	|
2010-01-04|WS009	|2,269	|2,275	|2,283	|2,272	|2,278	|2,278	|9	|9	|11,170	|31,424	|1,326	|25,445.77	|0	|
2010-01-04|WS011	|2,254	|0	|0	|0	|0	|2,261	|-2254	|7	|0	|120	|0	|0.00	|0	|
2010-01-04|WS101	|2,276	|2,278	|2,284	|2,278	|2,281	|2,282	|5	|6	|238	|6,348	|4	|543.07	|0	|
2010-01-04|WS103	|2,292	|2,292	|2,299	|2,292	|2,292	|2,295	|0	|3	|10	|28	|0	|22.95	|0	|
2010-01-04|WS105	|2,305	|2,313	|2,314	|2,306	|2,311	|2,311	|6	|6	|38	|1,850	|26	|87.80	|0	|
2010-01-04|WT001	|1,885	|1,885	|1,885	|1,885	|1,885	|1,885	|0	|0	|2	|126	|-2	|3.77	|1,878	|
2010-01-04|WT003	|1,925	|1,955	|1,955	|1,921	|1,928	|1,935	|3	|10	|14	|204	|-2	|27.10	|0	|
2010-01-04|WT005	|1,958	|1,966	|1,969	|1,958	|1,959	|1,963	|1	|5	|20	|410	|0	|39.26	|0	|
2010-01-04|WT007	|1,992	|1,977	|1,977	|1,977	|1,977	|1,977	|-15	|-15	|4	|102	|-4	|7.91	|0	|
2010-01-04|WT009	|1,976	|1,989	|1,991	|1,986	|1,986	|1,987	|10	|11	|42	|104	|0	|83.46	|0	|
2010-01-04|WT011	|2,002	|2,013	|2,013	|2,013	|2,013	|2,013	|11	|11	|2	|32	|0	|4.03	|0	|
2010-01-05|CF001	|16,305	|16,250	|16,250	|16,100	|16,155	|16,190	|-150	|-115	|370	|10,710	|-38	|2,995.25	|15,885	|
2010-01-05|CF003	|16,455	|16,385	|16,430	|16,275	|16,280	|16,350	|-175	|-105	|1,890	|9,430	|-184	|15,451.98	|0	|
2010-01-05|CF005	|16,715	|16,650	|16,680	|16,485	|16,525	|16,575	|-190	|-140	|275,464	|237,418	|-28,250	|2,283,232.12	|0	|
2010-01-05|CF007	|16,925	|16,890	|16,965	|16,790	|16,850	|16,895	|-75	|-30	|2,018	|7,250	|1,268	|17,045.57	|0	|
2010-01-05|CF009	|17,505	|17,515	|17,595	|17,370	|17,450	|17,490	|-55	|-15	|205,358	|138,666	|43,420	|1,795,790.13	|0	|
2010-01-05|CF011	|16,530	|16,460	|16,550	|16,430	|16,490	|16,490	|-40	|-40	|1,772	|14,170	|524	|14,610.18	|0	|
2010-01-05|ER001	|2,056	|2,015	|2,049	|2,015	|2,015	|2,045	|-41	|-11	|32	|4,046	|0	|65.43	|2,018	|
2010-01-05|ER003	|2,070	|2,062	|2,065	|2,062	|2,063	|2,064	|-7	|-6	|68	|3,640	|-56	|140.32	|0	|
2010-01-05|ER005	|2,124	|2,124	|2,127	|2,118	|2,119	|2,122	|-5	|-2	|17,720	|86,080	|170	|37,606.35	|0	|
2010-01-05|ER007	|2,142	|2,144	|2,145	|2,140	|2,145	|2,142	|3	|0	|44	|888	|8	|94.25	|0	|
2010-01-05|ER009	|2,201	|2,203	|2,209	|2,197	|2,197	|2,204	|-4	|3	|9,832	|34,984	|1,388	|21,666.97	|0	|
2010-01-05|ER011	|2,206	|2,203	|2,215	|2,169	|2,211	|2,211	|5	|5	|104	|138	|22	|229.90	|0	|
2010-01-05|GN001	|3,000	|0	|0	|0	|0	|3,000	|-3000	|0	|0	|0	|0	|0.00	|3,000	|
2010-01-05|GN003	|3,000	|0	|0	|0	|0	|3,000	|-3000	|0	|0	|0	|0	|0.00	|0	|
2010-01-05|RO001	|8,260	|8,250	|8,300	|8,156	|8,284	|8,226	|24	|-34	|212	|6,276	|-398	|871.97	|8,122	|
2010-01-05|RO003	|8,280	|8,432	|8,434	|8,428	|8,428	|8,432	|148	|152	|16	|44	|0	|67.45	|0	|
2010-01-05|RO005	|8,432	|8,470	|8,474	|8,420	|8,432	|8,446	|0	|14	|2,090	|22,838	|-126	|8,826.56	|0	|
2010-01-05|RO007	|8,560	|0	|0	|0	|0	|8,560	|-8560	|0	|0	|516	|0	|0.00	|0	|
2010-01-05|RO009	|8,622	|8,650	|8,678	|8,610	|8,628	|8,638	|6	|16	|56,432	|45,460	|1,172	|243,716.88	|0	|
2010-01-05|RO011	|8,658	|8,980	|8,980	|8,650	|8,664	|8,808	|6	|150	|18	|8	|0	|79.27	|0	|
2010-01-05|SR001	|5,379	|5,422	|5,515	|5,422	|5,515	|5,481	|136	|102	|240	|16,526	|-100	|1,315.44	|5,204	|
2010-01-05|SR003	|5,464	|5,578	|5,602	|5,531	|5,542	|5,565	|78	|101	|630	|19,330	|-136	|3,505.79	|0	|
2010-01-05|SR005	|5,585	|5,680	|5,723	|5,640	|5,656	|5,681	|71	|96	|85,298	|180,238	|-9,288	|484,556.49	|0	|
2010-01-05|SR007	|5,691	|5,791	|5,822	|5,736	|5,750	|5,778	|59	|87	|2,732	|22,708	|2	|15,785.79	|0	|
2010-01-05|SR009	|5,854	|5,950	|5,993	|5,901	|5,925	|5,947	|71	|93	|2,152,544	|821,560	|-61,630	|12,800,109.16	|0	|
2010-01-05|SR011	|5,696	|5,783	|5,862	|5,756	|5,771	|5,807	|75	|111	|4,024	|6,902	|-342	|23,366.14	|0	|
2010-01-05|SR101	|5,379	|5,420	|5,420	|5,332	|5,352	|5,362	|-27	|-17	|273,374	|167,780	|-17,046	|1,465,912.12	|0	|
2010-01-05|SR103	|5,341	|5,376	|5,387	|5,294	|5,315	|5,322	|-26	|-19	|1,390	|4,822	|12	|7,397.64	|0	|
2010-01-05|SR105	|5,383	|5,419	|5,421	|5,333	|5,375	|5,370	|-8	|-13	|26,006	|51,822	|-466	|139,647.49	|0	|
2010-01-05|TA001	|8,104	|8,142	|8,190	|8,142	|8,158	|8,168	|54	|64	|266	|13,456	|30	|1,086.28	|7,820	|
