					郑州商品交易所期货历史行情下载(2017)
交易日期  |品种代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1     |涨跌2     |成交量(手)|空盘量    |增减量    |成交额(万元)|交割结算价|
2017-01-03|CF701   |14,850.00 |14,895.00 |15,100.00 |14,895.00 |14,950.00 |15,005.00 |100.00    |155.00    |1,128     |18,836    |-410      |8,462.97    |14,955.00 |
2017-01-03|CF703   |14,880.00 |14,990.00 |15,150.00 |14,945.00 |14,990.00 |15,020.00 |110.00    |140.00    |84        |1,236     |0         |630.75      |0.00      |
2017-01-03|CF705   |14,985.00 |15,080.00 |15,300.00 |14,990.00 |15,085.00 |15,165.00 |100.00    |180.00    |184,116   |288,924   |1,676     |1,396,093.05|0.00      |
2017-01-03|CF707   |15,005.00 |15,245.00 |15,315.00 |15,175.00 |15,175.00 |15,225.00 |170.00    |220.00    |16        |70        |4         |121.82      |0.00      |
2017-01-03|CF709   |15,240.00 |15,350.00 |15,550.00 |15,295.00 |15,355.00 |15,420.00 |115.00    |180.00    |6,746     |30,896    |80        |52,019.86   |0.00      |
2017-01-03|CF711   |15,250.00 |15,620.00 |15,620.00 |15,555.00 |15,555.00 |15,590.00 |305.00    |340.00    |6         |40        |4         |46.78       |0.00      |
2017-01-03|FG701   |1,242.00  |1,298.00  |1,305.00  |1,209.00  |1,209.00  |1,262.00  |-33.00    |20.00     |40        |2,564     |-30       |100.96      |1,264.00  |
2017-01-03|FG702   |1,230.00  |1,239.00  |1,239.00  |1,239.00  |1,239.00  |1,239.00  |9.00      |9.00      |2         |0         |-2        |4.96        |0.00      |
2017-01-03|FG703   |1,251.00  |0.00      |0.00      |0.00      |0.00      |1,227.00  |-24.00    |-24.00    |0         |0         |0         |0.00        |0.00      |
2017-01-03|FG704   |1,207.00  |0.00      |0.00      |0.00      |0.00      |1,207.00  |0.00      |0.00      |0         |0         |0         |0.00        |0.00      |
